JobTitle,JobCategory,Salary,Location,SkillsRequired,StartDate,JobSummary
Web Developer,Technology and Data,£28000,Bristol,"['Big Data Technologies', 'Data Visualisation', 'Data Warehousing']",2025-04-20,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Systems Analyst,Technology and Data,£30000,Liverpool,"['Cloud Computing', 'JavaScript', 'Docker']",2025-03-23,Evaluate and improve computer systems to enhance efficiency.
Business Development Executive,Finance and Business,£31000,Newcastle,"['Financial Modeling', 'Financial Reporting', 'Budgeting']",2024-11-10,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Logistics Coordinator,Administrative,£27000,London,"['Communication', 'Talent Acquisition', 'Recruitment']",2025-01-03,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Business Development Executive,Finance and Business,£25000,Liverpool,"['Quantitative Analysis', 'Excel', 'Risk Assessment']",2025-09-19,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Quantity Surveyor,Engineering and Science,£22000,Nottingham,"['Problem Solving', 'Product Development', 'Data Analysis']",2025-07-17,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Customer Service Manager,Administrative,£21000,Newcastle,"['Leadership', 'Employee Relations', 'Compliance Management']",2025-05-19,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Public Relations Officer,Marketing and Creative,£27000,Sheffield,"['Brand Strategy', 'User Research', 'Campaign Management']",2024-10-17,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Engineering Graduate,Engineering and Science,£33000,Birmingham,"['Lab Techniques', 'Finite Element Analysis', 'Simulation Software']",2025-07-21,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Biomedical Scientist,Engineering and Science,£34000,Liverpool,"['Problem Solving', 'Prototyping', 'Engineering Design']",2024-09-14,Conduct research and analyse biological samples to support medical and clinical studies.
Audit Associate,Finance and Business,£31000,Newcastle,"['Financial Modeling', 'Excel', 'Financial Forecasting']",2025-06-27,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Data Scientist,Technology and Data,£23000,Bristol,"['ETL', 'Docker', 'Data Warehousing']",2025-07-24,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Customer Service Manager,Administrative,£34000,Cambridge,"['Client Management', 'Compliance Management', 'Recruitment']",2025-03-18,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Digital Marketing Specialist,Marketing and Creative,£35000,Sheffield,"['Campaign Management', 'Analytics', 'Digital Marketing']",2025-09-04,"Implement digital marketing strategies, including SEO, PPC, and social media."
Investment Banking Analyst,Finance and Business,£23000,Leeds,"['Budgeting', 'Analytical Skills', 'Reporting']",2025-07-17,You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Quantity Surveyor,Engineering and Science,£26000,Nottingham,"['Data Analysis', 'Prototyping', 'Simulation Software']",2025-08-19,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Operations Manager,Finance and Business,£26000,Nottingham,"['Risk Assessment', 'Budgeting', 'Project Management']",2025-07-21,"Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Audit Associate,Finance and Business,£23000,Sheffield,"['Bookkeeping', 'Regulatory Compliance', 'Market Research']",2024-12-21,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Civil Engineer,Engineering and Science,£31000,Liverpool,"['Technical Writing', 'Problem Solving', 'Lab Techniques']",2025-04-11,"Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Logistics Coordinator,Administrative,£30000,Birmingham,"['Office Management', 'Recruitment', 'Payroll Management']",2025-08-29,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
UI Designer,Technology and Data,£24000,London,"['APIs', 'Machine Learning', 'Data Warehousing']",2024-09-30,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Management Consultant,Administrative,£26000,Leeds,"['Payroll Management', 'Conflict Resolution', 'Performance Appraisal Systems']",2025-06-11,Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Mechanical Engineer,Engineering and Science,£28000,Leeds,"['Engineering Design', 'Regulatory Compliance', 'Product Development']",2025-08-05,"Design machinery and equipment, and troubleshoot engineering issues."
Human Resources Assistant,Administrative,£34000,Sheffield,"['Conflict Resolution', 'Office Management', 'Organisational Skills']",2025-09-29,"Support HR functions including recruitment, employee relations, and record-keeping."
Web Developer,Technology and Data,£31000,Newcastle,"['JavaScript', 'Django', 'Cloud Computing']",2025-01-15,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Graphic Designer,Marketing and Creative,£33000,Leeds,"['Digital Marketing', 'Content Management Systems', 'Market Research']",2024-11-03,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Quantity Surveyor,Engineering and Science,£33000,Bristol,"['Statistical Analysis', 'Research Methodology', 'Technical Writing']",2025-03-13,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Human Resources Assistant,Administrative,£22000,Birmingham,"['Talent Acquisition', 'Training and Development', 'Performance Appraisal Systems']",2024-09-13,"Support HR functions including recruitment, employee relations, and record-keeping."
Sales Executive,Marketing and Creative,£23000,Manchester,"['Content Management Systems', 'Analytics', 'Market Research']",2024-11-14,Must be able to develop and execute sales strategies to meet business objectives.
Research Scientist,Engineering and Science,£29000,Birmingham,"['Prototyping', 'Project Management Software', 'Finite Element Analysis']",2025-04-13,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Audit Associate,Finance and Business,£29000,Nottingham,"['Risk Assessment', 'Financial Forecasting', 'Financial Modeling']",2024-12-19,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
