JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Biomedical Scientist,Engineering and Science,£25000,Sheffield,"['Finite Element Analysis', 'Simulation Software', 'Problem Solving']",Conduct research and analyse biological samples to support medical and clinical studies.
Health and Safety Advisor,Engineering and Science,£22000,Bristol,"['Lab Techniques', 'CAD Software', 'Statistical Analysis']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Teacher,Administrative,£25000,Manchester,"['Office Management', 'Talent Acquisition', 'Leadership']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Corporate Finance Analyst,Finance and Business,£26000,Cambridge,"['Analytical Skills', 'Risk Assessment', 'Budgeting']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Technical Support Engineer,Technology and Data,£32000,Sheffield,"['Big Data Technologies', 'Data Warehousing', 'Python Programming']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Product Designer,Marketing and Creative,£33000,Birmingham,"['Social Media Marketing', 'Analytics', 'Email Marketing']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Nurse,Administrative,£25000,Bristol,"['Performance Appraisal Systems', 'Recruitment', 'Conflict Resolution']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Data Analyst,Technology and Data,£29000,Sheffield,"['Big Data Technologies', 'Machine Learning', 'Django']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Audit Associate,Finance and Business,£28000,Leeds,"['Regulatory Compliance', 'Business Strategy', 'Financial Analysis']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Supply Chain Analyst,Finance and Business,£28000,Birmingham,"['Risk Assessment', 'Financial Analysis', 'Analytical Skills']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Web Developer,Technology and Data,£25000,Sheffield,"['Problem Solving', 'Machine Learning', 'Django']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Web Developer,Technology and Data,£25000,Sheffield,"['JavaScript', 'Docker', 'Data Warehousing']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Web Developer,Technology and Data,£28000,Bristol,"['Data Analysis', 'Version Control', 'Machine Learning']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Social Media Manager,Marketing and Creative,£26000,Leeds,"['Adobe Creative Suite', 'User Research', 'Email Marketing']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Data Analyst,Technology and Data,£22000,Nottingham,"['Docker', 'Python Programming', 'Problem Solving']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Product Designer,Marketing and Creative,£28000,Cambridge,"['User Research', 'Adobe Creative Suite', 'Social Media Marketing']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Research Scientist,Engineering and Science,£31000,Leeds,"['Problem Solving', 'Finite Element Analysis', 'Engineering Design']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Investment Banking Analyst,Finance and Business,£30000,Bristol,"['Project Management', 'Financial Modeling', 'Quantitative Analysis']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Event Coordinator,Marketing and Creative,£31000,Cambridge,"['Adobe Creative Suite', 'Google Analytics', 'Content Creation']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Supply Chain Analyst,Finance and Business,£29000,London,"['Market Research', 'Financial Analysis', 'Budgeting']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Event Coordinator,Marketing and Creative,£32000,Manchester,"['Content Creation', 'Campaign Management', 'Analytics']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
IT Support Specialist,Technology and Data,£33000,Cambridge,"['Machine Learning', 'Data Warehousing', 'Cloud Computing']",You will have to provide technical support and troubleshooting for hardware and software issues.
Audit Associate,Finance and Business,£21000,Birmingham,"['Business Strategy', 'Financial Analysis', 'Excel']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Logistics Coordinator,Administrative,£27000,Nottingham,"['Recruitment', 'Office Management', 'Training and Development']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Risk Analyst,Finance and Business,£27000,Birmingham,"['Project Management', 'Reporting', 'Financial Forecasting']",You must be able to identify and assess potential risks to the organisation.
Quantity Surveyor,Engineering and Science,£31000,Cambridge,"['Technical Writing', 'Data Analysis', 'CAD Software']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Electrical Engineer,Engineering and Science,£25000,Newcastle,"['Prototyping', 'Product Development', 'Finite Element Analysis']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Data Scientist,Technology and Data,£29000,Sheffield,"['Cloud Computing', 'Data Visualisation', 'Data Analysis']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
